Itr:151 Energy:-0.0647216898158644 Cost:374.71632245102626 energy_imp:6.359207585029947e-06 cost_imp:0.4377295299862567
Itr:152 Energy:-0.06472800121893293 Cost:374.2824473304055 energy_imp:6.31140306853184e-06 cost_imp:0.43387512062076894
Itr:153 Energy:-0.06473426579447764 Cost:373.8523711001648 energy_imp:6.2645755447010565e-06 cost_imp:0.43007623024067243
Itr:154 Energy:-0.06474048449740313 Cost:373.4260391994507 energy_imp:6.218702925497865e-06 cost_imp:0.42633190071410354
Itr:155 Energy:-0.06474665826105319 Cost:373.0033980060681 energy_imp:6.173763650058062e-06 cost_imp:0.4226411933826171
Itr:156 Energy:-0.06475278799772353 Cost:372.5843948174614 energy_imp:6.129736670343333e-06 cost_imp:0.41900318860672314
Itr:157 Energy:-0.06475887459916214 Cost:372.1689778321463 energy_imp:6.086601438609618e-06 cost_imp:0.415416985315062
Itr:158 Energy:-0.06476491893705646 Cost:371.7570961315765 energy_imp:6.044337894320351e-06 cost_imp:0.4118817005698361
Itr:159 Energy:-0.06477092186350901 Cost:371.3486996624289 energy_imp:6.002926452544632e-06 cost_imp:0.40839646914758987
Itr:160 Energy:-0.06477688421150024 Cost:370.94373921930867 energy_imp:5.962347991231298e-06 cost_imp:0.40496044312021695
Itr:161 Energy:-0.06478280679534035 Cost:370.54216642785036 energy_imp:5.922583840106688e-06 cost_imp:0.4015727914583067
Itr:162 Energy:-0.06478869041110906 Cost:370.1439337282088 energy_imp:5.883615768711992e-06 cost_imp:0.3982326996415395
Itr:163 Energy:-0.06479453583708508 Cost:369.7489943589368 energy_imp:5.845425976022667e-06 cost_imp:0.39493936927203777
Itr:164 Energy:-0.06480034383416458 Cost:369.3573023412238 energy_imp:5.807997079498861e-06 cost_imp:0.3916920177130123
Itr:165 Energy:-0.06480611514626898 Cost:368.9688124635073 energy_imp:5.7713121043995175e-06 cost_imp:0.3884898777164949
Itr:166 Energy:-0.06481185050074256 Cost:368.5834802664221 energy_imp:5.735354473582199e-06 cost_imp:0.38533219708517663
Itr:167 Energy:-0.06481755060874093 Cost:368.2012620281046 energy_imp:5.700107998371506e-06 cost_imp:0.3822182383174777
